GPU: NVIDIA GeForce RTX 4090
VRAM: 23.5 GB

======================================================================
Few-Shot Open Set Recognition - Episodic Training Pipeline
======================================================================

Loading datasets...
使用动态加载模式，不加载缓存文件 /coding/audio_classifying/unprocessed_data/TAU22_train_pro_1s.pt
索引映射构建完成，总样本数: 30000

Base feature extractor already exists: experiment/yamnet_fewshot_osr6/base_feature_extractor.pth
FeatureExtractor: loaded YAMNet pretrained weights from yamnet.pth (FC layers random)
FeatureExtractor: loaded 221/221 parameters from experiment/yamnet_fewshot_osr6/base_feature_extractor.pth

======================================================================
Phase 1: Feature Extraction
======================================================================
使用动态加载模式，不加载缓存文件 /coding/audio_classifying/unprocessed_data/TAU22_calib_pro_1s.pt
索引映射构建完成，总样本数: 18000
使用动态加载模式，不加载缓存文件 /coding/audio_classifying/unprocessed_data/TAU22_eval_pro_1s.pt
索引映射构建完成，总样本数: 18000
Loading cached features from experiment/fewshot_cache/train_features.pt (version: v10_early_gaussian_robust_proto)
  Classes: [0, 1, 2, 3, 4, 5]
    Class 0: 5000 samples
    Class 1: 5000 samples
    Class 2: 5000 samples
    Class 3: 5000 samples
    Class 4: 5000 samples
    Class 5: 5000 samples
Loading cached features from experiment/fewshot_cache/calib_features.pt (version: v10_early_gaussian_robust_proto)
  Classes: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
    Class 0: 1800 samples
    Class 1: 1800 samples
    Class 2: 1800 samples
    Class 3: 1800 samples
    Class 4: 1800 samples
    Class 5: 1800 samples
    Class 6: 1800 samples
    Class 7: 1800 samples
    Class 8: 1800 samples
    Class 9: 1800 samples
Loading cached features from experiment/fewshot_cache/test_features.pt (version: v10_early_gaussian_robust_proto)
  Classes: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
    Class 0: 1800 samples
    Class 1: 1800 samples
    Class 2: 1800 samples
    Class 3: 1800 samples
    Class 4: 1800 samples
    Class 5: 1800 samples
    Class 6: 1800 samples
    Class 7: 1800 samples
    Class 8: 1800 samples
    Class 9: 1800 samples

Computing t-SNE on 5000 samples...
t-SNE plot saved: experiment/yamnet_fewshot_osr6/tsne_features.png

======================================================================
Phase 2: Episodic Meta-Training
======================================================================
OOD exposure: 4 unknown classes, 7200 total samples
Real OOD exposure: 7200 samples from classes [6, 7, 8, 9]
Flow classifier params: 2,917,313

======================================================================
Episodic Meta-Training: 5-way 5-shot
Base classes:     [0, 1, 2, 3, 4, 5]
Unknown classes:  [6, 7, 8, 9]
Episodes:         10000
Eval every:       100 episodes
Proto noise std:  0.5
OOD ratio:          0.5
LR warmup:        1000 episodes
Stage2 (cls):     2000 episodes
Stage3 (struct):  4000 episodes
Gaussian prior:   from ep 1 (fast ramp)
Patience:         4000 episodes
======================================================================

Ep   100/10000 | CE: 2.1490 Total: 2.3104 Acc: 73.04% | Val Loss: 2.6701 Acc: 66.43% | LR: 1.00e-05 cls:0.0 gau:0.2 str:0.0 | z_norm²: 7.7(≈32) z_std: 0.278(≈1.0)
  -> Best model saved (Val Acc: 66.43%)
Ep   200/10000 | CE: 1.9237 Total: 2.1706 Acc: 75.77% | Val Loss: 2.4601 Acc: 67.39% | LR: 2.00e-05 cls:0.0 gau:0.4 str:0.0 | z_norm²: 26.4(≈32) z_std: 0.381(≈1.0)
  -> Best model saved (Val Acc: 67.39%)
Ep   300/10000 | CE: 1.5690 Total: 1.8106 Acc: 77.25% | Val Loss: 2.1830 Acc: 65.68% | LR: 3.00e-05 cls:0.0 gau:0.6 str:0.0 | z_norm²: 32.5(≈32) z_std: 0.584(≈1.0)
Ep   400/10000 | CE: 1.5773 Total: 1.7791 Acc: 75.88% | Val Loss: 1.8211 Acc: 67.79% | LR: 4.00e-05 cls:0.0 gau:0.8 str:0.0 | z_norm²: 32.2(≈32) z_std: 0.774(≈1.0)
  -> Best model saved (Val Acc: 67.79%)
Ep   500/10000 | CE: 1.3320 Total: 1.5593 Acc: 76.03% | Val Loss: 1.7237 Acc: 66.19% | LR: 5.00e-05 cls:0.0 gau:1.0 str:0.0 | z_norm²: 32.5(≈32) z_std: 0.863(≈1.0)
Ep   600/10000 | CE: 1.3501 Total: 1.5938 Acc: 76.60% | Val Loss: 1.8495 Acc: 66.27% | LR: 6.00e-05 cls:0.0 gau:1.0 str:0.0 | z_norm²: 33.4(≈32) z_std: 0.891(≈1.0)
Ep   700/10000 | CE: 1.2490 Total: 1.4606 Acc: 75.68% | Val Loss: 1.9108 Acc: 64.61% | LR: 7.00e-05 cls:0.0 gau:1.0 str:0.0 | z_norm²: 31.6(≈32) z_std: 0.890(≈1.0)
Ep   800/10000 | CE: 1.2665 Total: 1.4494 Acc: 76.56% | Val Loss: 1.6956 Acc: 67.68% | LR: 8.00e-05 cls:0.0 gau:1.0 str:0.0 | z_norm²: 32.2(≈32) z_std: 0.898(≈1.0)
