Dataset,OSR Method,AUROC,OSR Score,TPR@TNR95
TAU22,Anti-Prototype [9],62.421,60.53,26.06
TAU22,Mahalanobis [8],48.602,48.89,2.78
TAU22,OSR23 [24],84.070,73.92,52.83
TAU22,Extended V2 [8],83.358,73.52,52.05
TAU22,Cluster V2 [24],84.126,73.83,52.66
TAU22,Fusion V2 (ours),86.184,72.71,50.42
TAU19,Anti-Prototype [9],63.507,52.77,10.55
TAU19,Mahalanobis [8],84.541,62.80,30.60
TAU19,OSR23 [24],93.665,85.18,75.37
TAU19,Extended V2 [8],93.526,85.03,75.05
TAU19,Cluster V2 [24],93.650,85.11,75.22
TAU19,Fusion V2 (ours),97.209,87.63,80.27
