GPU: NVIDIA GeForce RTX 4090
VRAM: 23.5 GB

======================================================================
Few-Shot Open Set Recognition - Episodic Training Pipeline
Backbone: yamnet
======================================================================

Loading datasets...
使用动态加载模式，不加载缓存文件 /coding/audio_classifying/unprocessed_data/TAU22_train_pro_1s.pt
索引映射构建完成，总样本数: 30000

======================================================================
Phase 0a: Contrastive Pre-training (SimCLR → SupCon)
  - First half: SimCLR (all classes, no label leakage)
  - Second half: SupCon (base classes only, discriminative)
  - yamnet last layers unfrozen for acoustic scene adaptation
======================================================================
FeatureExtractor: loaded YAMNet pretrained weights from yamnet.pth (FC layers random)

======================================================================
Phase 0a: Contrastive Pre-training
======================================================================
Samples:         30000
Epochs:          200
Batch size:      2048
Temperature:     0.1
Backbone unfreeze: ['layer7', 'layer8', 'layer9', 'layer10', 'layer11', 'layer12', 'layer13', 'layer14']
Mode:            SimCLR (ep 1-100) → SupCon (ep 101-200)
Base classes:    [0, 1, 2, 3, 4, 5]
======================================================================

Epoch  1/200 [SimCLR] | Loss: 8.2269 | LR: 3.00e-04
Epoch  2/200 [SimCLR] | Loss: 7.2524 | LR: 3.00e-04
Epoch  3/200 [SimCLR] | Loss: 6.3027 | LR: 3.00e-04
Epoch  4/200 [SimCLR] | Loss: 5.7077 | LR: 3.00e-04
Epoch  5/200 [SimCLR] | Loss: 5.3047 | LR: 3.00e-04
Epoch  6/200 [SimCLR] | Loss: 4.9776 | LR: 2.99e-04
Epoch  7/200 [SimCLR] | Loss: 4.7158 | LR: 2.99e-04
Epoch  8/200 [SimCLR] | Loss: 4.4906 | LR: 2.99e-04
Epoch  9/200 [SimCLR] | Loss: 4.2906 | LR: 2.99e-04
Epoch 10/200 [SimCLR] | Loss: 4.1408 | LR: 2.98e-04
Epoch 11/200 [SimCLR] | Loss: 4.0120 | LR: 2.98e-04
Epoch 12/200 [SimCLR] | Loss: 3.8923 | LR: 2.97e-04
Epoch 13/200 [SimCLR] | Loss: 3.7825 | LR: 2.97e-04
Epoch 14/200 [SimCLR] | Loss: 3.7071 | LR: 2.96e-04
Epoch 15/200 [SimCLR] | Loss: 3.6377 | LR: 2.96e-04
Epoch 16/200 [SimCLR] | Loss: 3.5672 | LR: 2.95e-04
Epoch 17/200 [SimCLR] | Loss: 3.5124 | LR: 2.95e-04
Epoch 18/200 [SimCLR] | Loss: 3.4602 | LR: 2.94e-04
Epoch 19/200 [SimCLR] | Loss: 3.4026 | LR: 2.93e-04
Epoch 20/200 [SimCLR] | Loss: 3.3666 | LR: 2.93e-04
Epoch 21/200 [SimCLR] | Loss: 3.3430 | LR: 2.92e-04
Epoch 22/200 [SimCLR] | Loss: 3.2977 | LR: 2.91e-04
Epoch 23/200 [SimCLR] | Loss: 3.2571 | LR: 2.90e-04
Epoch 24/200 [SimCLR] | Loss: 3.2163 | LR: 2.89e-04
Epoch 25/200 [SimCLR] | Loss: 3.1618 | LR: 2.89e-04
